Frame, eSSIM, SSIM
0,0.776444,0.861329
1,0.765296,0.849366
2,0.748473,0.833681
3,0.758817,0.840882
4,0.740157,0.825141
5,0.752042,0.83209
6,0.73151,0.817925
7,0.746775,0.82751
8,0.738705,0.821515
9,0.713655,0.803982
10,0.732755,0.816293
11,0.706363,0.797888
12,0.725588,0.809599
13,0.679221,0.776104
14,0.698469,0.787319
15,0.66494,0.763656
16,0.686705,0.777276
17,0.680489,0.772568
18,0.675355,0.767335
19,0.641544,0.742857
20,0.66517,0.758193
21,0.635798,0.735335
22,0.665453,0.757795
23,0.647518,0.747294
24,0.66946,0.763131
25,0.668452,0.763057
26,0.668327,0.763535
27,0.667771,0.763353
28,0.672518,0.766928
29,0.675937,0.768773
30,0.65462,0.753801
31,0.676009,0.768063
32,0.674301,0.768427
33,0.672263,0.766287
34,0.670738,0.765178
35,0.643619,0.746834
36,0.668447,0.764182
37,0.669138,0.765853
38,0.644315,0.747619
39,0.673628,0.767904
40,0.648015,0.748946
41,0.676798,0.769514
42,0.654384,0.754107
43,0.684727,0.776165
44,0.694885,0.785459
45,0.673411,0.771625
46,0.698586,0.790597
47,0.712788,0.802975
48,0.700001,0.796624
49,0.725484,0.81472
50,0.708224,0.805067
51,0.734519,0.823018
52,0.71417,0.809399
53,0.736805,0.824411
54,0.713156,0.808609
55,0.745489,0.83077
56,0.732965,0.82177
57,0.764079,0.841787
58,0.748991,0.831885
59,0.773866,0.850181
60,0.817292,0.889393
61,0.795691,0.870948
62,0.812565,0.883473
63,0.794194,0.870955
64,0.814692,0.884622
65,0.797208,0.871468
66,0.805061,0.876625
67,0.815085,0.88614
68,0.80385,0.877522
69,0.82451,0.893244
70,0.813817,0.886014
71,0.816791,0.887894
72,0.814444,0.886244
73,0.827278,0.896235
74,0.817517,0.890044
75,0.830933,0.899845
76,0.832263,0.900579
77,0.830189,0.899466
78,0.831044,0.899773
79,0.830815,0.899555
80,0.833055,0.902735
81,0.823019,0.893642
82,0.827615,0.897426
83,0.824944,0.895321
